Year,China,France,India,Israel,North Korea,Pakistan,Russia,South Africa,United Kingdom,United States
1945,0,0,0,0,0,0,0,0,0,2
1946,0,0,0,0,0,0,0,0,0,9
1947,0,0,0,0,0,0,0,0,0,13
1948,0,0,0,0,0,0,0,0,0,50
1949,0,0,0,0,0,0,1,0,0,170
1950,0,0,0,0,0,0,5,0,0,299
1951,0,0,0,0,0,0,25,0,0,438
1952,0,0,0,0,0,0,50,0,0,841
1953,0,0,0,0,0,0,120,0,1,1169
1954,0,0,0,0,0,0,150,0,5,1703
1955,0,0,0,0,0,0,200,0,10,2422
1956,0,0,0,0,0,0,426,0,50,3692
1957,0,0,0,0,0,0,660,0,58,5543
1958,0,0,0,0,0,0,863,0,60,7345
1959,0,0,0,0,0,0,1048,0,78,12298
1960,0,0,0,0,0,0,1627,0,105,18638
1961,0,0,0,0,0,0,2492,0,155,22229
1962,0,0,0,0,0,0,3346,0,211,25540
1963,0,0,0,0,0,0,4259,0,256,28133
1964,1,4,0,0,0,0,5242,0,271,29463
1965,5,32,0,0,0,0,6144,0,271,31139
1966,20,36,0,0,0,0,7091,0,281,31175
1967,25,36,0,2,0,0,8400,0,355,31255
1968,35,36,0,4,0,0,9490,0,317,29561
1969,50,36,0,6,0,0,10671,0,306,27552
1970,75,36,0,8,0,0,11736,0,375,26008
1971,100,45,0,11,0,0,13279,0,412,25830
1972,130,70,0,13,0,0,14600,0,423,26516
1973,150,116,0,15,0,0,15878,0,500,27835
1974,170,145,0,17,0,0,17286,0,500,28537
1975,180,188,0,20,0,0,19235,0,500,27519
1976,180,212,0,22,0,0,22165,0,500,25914
1977,180,228,0,24,0,0,24281,0,500,25542
1978,190,235,0,26,0,0,26169,0,500,24418
1979,195,235,0,29,0,0,28258,0,500,24138
1980,205,250,0,31,0,0,30665,0,500,24104
1981,210,274,0,33,0,0,32146,0,500,23208
1982,216,274,0,35,0,0,33486,3,385,22886
1983,218,279,0,38,0,0,35130,3,380,23305
1984,220,280,0,40,0,0,36825,3,350,23459
1985,222,360,0,42,0,0,38582,3,350,23368
1986,224,355,0,44,0,0,40159,3,350,23317
1987,226,420,0,47,0,0,38107,4,350,23575
1988,228,410,0,49,0,0,36538,5,350,23205
1989,230,410,0,51,0,0,35078,6,350,22217
1990,232,505,0,53,0,0,32980,0,350,21392
1991,234,540,0,56,0,0,29154,0,350,19008
1992,234,540,0,58,0,0,26734,0,250,13708
1993,234,525,0,60,0,0,24403,0,250,11511
1994,234,510,0,62,0,0,21339,0,250,10979
1995,234,500,0,63,0,0,18179,0,234,10904
1996,234,450,0,64,0,0,15942,0,203,11011
1997,232,450,0,66,0,0,15442,0,203,10903
1998,232,450,3,68,0,2,14368,0,240,10732
1999,232,450,8,70,0,8,13188,0,240,10685
2000,232,470,13,72,0,14,12188,0,280,10577
2001,235,350,18,74,0,20,11152,0,280,10526
2002,235,350,23,76,0,26,10114,0,280,10457
2003,235,350,28,78,0,32,9076,0,280,10027
2004,235,350,33,80,0,38,8038,0,280,8570
2005,235,350,38,80,0,44,7000,0,280,8360
2006,235,350,43,80,0,50,6643,0,225,7853
2007,235,350,50,80,0,60,6286,0,225,5709
2008,235,300,60,80,0,70,5929,0,225,5273
2009,240,300,70,80,0,80,5527,0,225,5113
2010,240,300,80,80,0,90,5215,0,225,5066
2011,240,300,90,80,0,100,4858,0,225,4897
2012,240,300,100,80,0,110,4750,0,225,4881
2013,250,300,110,80,0,115,4650,0,225,4804
2014,250,300,100,80,0,120,4600,0,220,4717
2015,260,300,110,80,5,125,4500,0,215,4571
2016,260,300,120,80,10,130,4490,0,215,4018
2017,270,300,130,80,15,140,4300,0,215,3822
2018,280,300,140,80,20,150,4350,0,210,3785
2019,290,300,140,80,25,150,4330,0,205,3805
2020,350,290,150,90,35,160,4310,0,195,3750
2021,350,290,160,90,20,165,4495,0,180,3708
2022,350,290,160,90,20,165,4477,0,180,3708
